,L2_Ls_Rs_0,L2_Ls_Rs_1,L2_Re_Rs_0,L2_Re_Rs_1,L2_Le_Ls_0,L2_Le_Ls_1,L2_Rw_Re_0,L2_Rw_Re_1,L2_Lw_Le_0,L2_Lw_Le_1,L2_Rh_Rs_0,L2_Rh_Rs_1,L2_Lh_Ls_0,L2_Lh_Ls_1,L2_Lh_Rh_0,L2_Lh_Rh_1,L2_Rk_Rh_0,L2_Rk_Rh_1,L2_Lk_Lh_0,L2_Lk_Lh_1,L2_Ra_Rk_0,L2_Ra_Rk_1,L2_La_Lk_0,L2_La_Lk_1
152,-0.99904434,0.04370819,0.98188337,0.18948626,-0.9620936,0.27271945,0.98733037,0.1586781,-0.98596075,0.16697722,-0.13650542,-0.99063932,0.10352988,-0.99462634,-0.99661625,-0.08219515,0.64903718,-0.76075669,-0.91296829,-0.40803052,0.67105502,-0.74140756,-0.02537254,-0.99967807
153,-0.99876776,0.04962821,0.97854978,0.20601048,-0.96351791,0.26764386,0.98867585,0.15006687,-0.98462327,0.17469122,-0.13319003,-0.99109052,0.10679317,-0.99428126,-0.9958095,-0.09145189,0.64594224,-0.76338629,-0.91124597,-0.41186258,0.66233957,-0.74920377,-0.03551058,-0.9993693
154,-0.99876776,0.04962821,0.97678809,0.21420791,-0.96351791,0.26764386,0.98887207,0.14876836,-0.98322938,0.18237319,-0.13267491,-0.99115961,0.10679317,-0.99428126,-0.99668462,-0.08136201,0.64594224,-0.76338629,-0.90841205,-0.418076,0.66233957,-0.74920377,-0.04057569,-0.99917647
155,-0.9987829,0.04932261,0.97538218,0.22052119,-0.96152395,0.27472113,0.9891155,0.14714115,-0.98437807,0.17606762,-0.12883844,-0.9916656,0.11406545,-0.99347324,-0.99668462,-0.08136201,0.64594224,-0.76338629,-0.90552107,-0.4243013,0.65658165,-0.75425495,-0.05069615,-0.99871412
156,-0.9987829,0.04932261,0.97396493,0.22669873,-0.95948667,0.28175402,0.98682767,0.16177503,-0.98412702,0.17746553,-0.1211483,-0.99263442,0.11769479,-0.99304982,-0.99675093,-0.08054553,0.63701978,-0.77084746,-0.90160437,-0.43256163,0.65658165,-0.75425495,-0.06584663,-0.99782976
157,-0.9987829,0.04932261,0.97384121,0.22722962,-0.95948667,0.28175402,0.98576733,0.16811536,-0.98240956,0.18673901,-0.11729494,-0.99309712,0.12087831,-0.99266733,-0.99589321,-0.09053575,0.6343983,-0.77300633,-0.90062232,-0.43460263,0.65304817,-0.75731637,-0.07592237,-0.99711373
158,-0.99931483,0.03701166,0.97710519,0.21275678,-0.96008462,0.27970969,0.98227288,0.18745666,-0.97898042,0.20395425,-0.12021556,-0.99274781,0.11769479,-0.99304982,-0.99675093,-0.08054553,0.6343983,-0.77300633,-0.89755433,-0.44090388,0.65304817,-0.75731637,-0.08095172,-0.99671802
159,-0.99931483,0.03701166,0.97581829,0.2185833,-0.95803366,0.28665574,0.98227288,0.18745666,-0.97695354,0.21345204,-0.11639103,-0.99320347,0.12131943,-0.99261352,-0.99675093,-0.08054553,0.6343983,-0.77300633,-0.89856752,-0.4388353,0.64988379,-0.76003359,-0.08095172,-0.99671802
160,-0.99907915,0.04290524,0.97724468,0.21211513,-0.95948667,0.28175402,0.98313005,0.18290792,-0.97657495,0.21517753,-0.12021556,-0.99274781,0.12087831,-0.99266733,-0.99675093,-0.08054553,0.6343983,-0.77300633,-0.89956654,-0.43678375,0.64988379,-0.76003359,-0.08095172,-0.99671802
161,-0.99907915,0.04290524,0.97758178,0.21055608,-0.95948667,0.28175402,0.98399364,0.17820357,-0.9743912,0.22485951,-0.12403473,-0.99227788,0.12087831,-0.99266733,-0.99668462,-0.08136201,0.6343983,-0.77300633,-0.90257267,-0.43053754,0.64988379,-0.76003359,-0.08054553,-0.99675093
